TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
20	ADI-M	MGRS	ADI-M	Geodetic			31PBA0000000000 			9.036980	0.271340		9.037229	0.271353																							Warning-Equivalent
21	ADI-M	MGRS	ADI-M	Geodetic			31PCA0000000000 			9.042620	1.180500		9.042869	1.180508																							Warning-Equivalent
22	ADI-M	MGRS	ADI-M	Geodetic			31PDA0000000000 			9.046000	2.090130		9.046256	2.090136																							Warning-Equivalent
23	ADI-M	MGRS	ADI-M	Geodetic			31PEA0000000000 			9.047130	3.000000		9.047385	3.000000																							Warning-Equivalent
24	ADI-M	MGRS	ADI-M	Geodetic			31PFA0000000000 			9.046000	3.909870		9.046256	3.909864																							Warning-Equivalent
25	ADI-M	MGRS	ADI-M	Geodetic			31PGA0000000000 			9.042620	4.819500		9.042869	4.819492																							Warning-Equivalent
26	ADI-M	MGRS	ADI-M	Geodetic			31PHA0000000000 			9.036980	5.728660		9.037229	5.728647																							Warning-Equivalent
27	ADI-M	MGRS	ADI-M	Geodetic			32PKE4022998847 			9.029090	6.637120		9.029347	6.637093																							Warning-Equivalent
28	ADI-M	MGRS	ADI-M	Geodetic			30PYK4952998153 			13.541960	-0.694470		13.542324	-0.694445																							Warning-Equivalent
29	ADI-M	MGRS	ADI-M	Geodetic			31PBF0000000000 			13.553900	0.228260		13.554274	0.228272																							Warning-Equivalent
30	ADI-M	MGRS	ADI-M	Geodetic			31PCF0000000000 			13.562450	1.151750		13.562819	1.151756																							Warning-Equivalent
31	ADI-M	MGRS	ADI-M	Geodetic			31PDF0000000000 			13.567580	2.075740		13.567951	2.075751																							Warning-Equivalent
32	ADI-M	MGRS	ADI-M	Geodetic			31PEF0000000000 			13.569290	3.000000		13.569662	3.000000																							Warning-Equivalent
33	ADI-M	MGRS	ADI-M	Geodetic			31PFF0000000000 			13.567580	3.924260		13.567951	3.924249																							Warning-Equivalent
34	ADI-M	MGRS	ADI-M	Geodetic			31PGF0000000000 			13.562450	4.848250		13.562819	4.848244																							Warning-Equivalent
35	ADI-M	MGRS	ADI-M	Geodetic			31PHF0000000000 			13.553900	5.771740		13.554274	5.771728																							Warning-Equivalent
36	ADI-M	MGRS	ADI-M	Geodetic			32PKK5047198153 			13.541960	6.694470		13.542324	6.694445																							Warning-Equivalent
37	ADI-M	MGRS	ADI-M	Geodetic			30QYQ3528397324 			18.052830	-0.777330		18.053303	-0.777304																							Warning-Equivalent
38	ADI-M	MGRS	ADI-M	Geodetic			31QBL0000000000 			18.068990	0.166020		18.069467	0.166031																							Warning-Equivalent
39	ADI-M	MGRS	ADI-M	Geodetic			31QCL0000000000 			18.080540	1.110210		18.081025	1.110216																							Warning-Equivalent
40	ADI-M	MGRS	ADI-M	Geodetic			31QDL0000000000 			18.087480	2.054960		18.087966	2.054966																							Warning-Equivalent
41	ADI-M	MGRS	ADI-M	Geodetic			31QEL0000000000 			18.089800	3.000000		18.090281	3.000000																							Warning-Equivalent
42	ADI-M	MGRS	ADI-M	Geodetic			31QFL0000000000 			18.087480	3.945040		18.087966	3.945034																							Warning-Equivalent
43	ADI-M	MGRS	ADI-M	Geodetic			31QGL0000000000 			18.080540	4.889790		18.081025	4.889784																							Warning-Equivalent
44	ADI-M	MGRS	ADI-M	Geodetic			31QHL0000000000 			18.068990	5.833980		18.069467	5.833969																							Warning-Equivalent
45	ADI-M	MGRS	ADI-M	Geodetic			32QKQ6471797324 			18.052830	6.777330		18.053303	6.777304																							Warning-Equivalent
46	ADI-M	MGRS	ADI-M	Geodetic			31QBR0000000000 			22.581660	0.082500		22.582241	0.082517																							Warning-Equivalent
47	ADI-M	MGRS	ADI-M	Geodetic			31QCR0000000000 			22.596380	1.054460		22.596964	1.054473																							Warning-Equivalent
48	ADI-M	MGRS	ADI-M	Geodetic			31QDR0000000000 			22.605220	2.027070		22.605806	2.027075																							Warning-Equivalent
49	ADI-M	MGRS	ADI-M	Geodetic			31QER0000000000 			22.608170	3.000000		22.608755	3.000000																							Warning-Equivalent
50	ADI-M	MGRS	ADI-M	Geodetic			31QFR0000000000 			22.605220	3.972930		22.605806	3.972925																							Warning-Equivalent
51	ADI-M	MGRS	ADI-M	Geodetic			31QGR0000000000 			22.596380	4.945540		22.596964	4.945527																							Warning-Equivalent
52	ADI-M	MGRS	ADI-M	Geodetic			31QHR0000000000 			22.581660	5.917500		22.582241	5.917483																							Warning-Equivalent
53	ADI-M	MGRS	ADI-M	Geodetic			30RYE9498399880 			27.091400	-0.025300		27.092062	-0.025283																							Warning-Equivalent
54	ADI-M	MGRS	ADI-M	Geodetic			31RCA0000000000 			27.109490	0.982500		27.110160	0.982514																							Warning-Equivalent
55	ADI-M	MGRS	ADI-M	Geodetic			31RDA0000000000 			27.120360	1.991060		27.121028	1.991067																							Warning-Equivalent
56	ADI-M	MGRS	ADI-M	Geodetic			31REA0000000000 			27.123980	3.000000		27.124652	3.000000																							Warning-Equivalent
57	ADI-M	MGRS	ADI-M	Geodetic			31RFA0000000000 			27.120360	4.008940		27.121028	4.008933																							Warning-Equivalent
58	ADI-M	MGRS	ADI-M	Geodetic			31RGA0000000000 			27.109490	5.017500		27.110160	5.017486																							Warning-Equivalent
59	ADI-M	MGRS	ADI-M	Geodetic			32RKE0501799880 			27.091400	6.025300		27.092062	6.025283																							Warning-Equivalent
60	ADI-M	MGRS	ADI-M	Geodetic			30RYK6932699158 			31.597710	-0.161580		31.598453	-0.161565																							Warning-Equivalent
61	ADI-M	MGRS	ADI-M	Geodetic			31RCF0000000000 			31.619450	0.891520		31.620192	0.891528																							Warning-Equivalent
62	ADI-M	MGRS	ADI-M	Geodetic			31RDF0000000000 			31.632510	1.945530		31.633251	1.945536																							Warning-Equivalent
63	ADI-M	MGRS	ADI-M	Geodetic			31REF0000000000 			31.636870	3.000000		31.637605	3.000000																							Warning-Equivalent
64	ADI-M	MGRS	ADI-M	Geodetic			31RFF0000000000 			31.632510	4.054470		31.633251	4.054464																							Warning-Equivalent
65	ADI-M	MGRS	ADI-M	Geodetic			31RGF0000000000 			31.619450	5.108480		31.620192	5.108472																							Warning-Equivalent
66	ADI-M	MGRS	ADI-M	Geodetic			32RKK3067499158 			31.597710	6.161580		31.598453	6.161565																							Warning-Equivalent
67	ADI-M	MGRS	ADI-M	Geodetic			30SYQ4017498153 			36.100160	-0.332170		36.100952	-0.332169																							Warning-Equivalent
68	ADI-M	MGRS	ADI-M	Geodetic			31SCL0000000000 			36.125910	0.777610		36.126697	0.777617																							Warning-Equivalent
69	ADI-M	MGRS	ADI-M	Geodetic			31SDL0000000000 			36.141370	1.888520		36.142163	1.888526																							Warning-Equivalent
70	ADI-M	MGRS	ADI-M	Geodetic			31SEL0000000000 			36.146530	3.000000		36.147322	3.000000																							Warning-Equivalent
71	ADI-M	MGRS	ADI-M	Geodetic			31SFL0000000000 			36.141370	4.111480		36.142163	4.111474																							Warning-Equivalent
72	ADI-M	MGRS	ADI-M	Geodetic			31SGL0000000000 			36.125910	5.222390		36.126697	5.222383																							Warning-Equivalent
73	ADI-M	MGRS	ADI-M	Geodetic			32SKQ5982698153 			36.100160	6.332170		36.100952	6.332169																							Warning-Equivalent
74	ADI-M	MGRS	ADI-M	Geodetic			31TCR0000000000 			40.628540	0.635320		40.629370	0.635319																							Warning-Equivalent
75	ADI-M	MGRS	ADI-M	Geodetic			31TDR0000000000 			40.646700	1.817300		40.647531	1.817300																							Warning-Equivalent
76	ADI-M	MGRS	ADI-M	Geodetic			31TER0000000000 			40.652760	3.000000		40.653588	3.000000																							Warning-Equivalent
77	ADI-M	MGRS	ADI-M	Geodetic			31TFR0000000000 			40.646700	4.182700		40.647531	4.182700																							Warning-Equivalent
78	ADI-M	MGRS	ADI-M	Geodetic			31TGR0000000000 			40.628540	5.364680		40.629370	5.364681																							Warning-Equivalent
79	ADI-M	MGRS	ADI-M	Geodetic			31TCA0000000000 			45.127110	0.456860		45.127955	0.456867																							Warning-Equivalent
80	ADI-M	MGRS	ADI-M	Geodetic			31TDA0000000000 			45.148350	1.727960		45.149195	1.727962																							Warning-Equivalent
81	ADI-M	MGRS	ADI-M	Geodetic			31TEA0000000000 			45.155430	3.000000		45.156280	3.000000																							Warning-Equivalent
82	ADI-M	MGRS	ADI-M	Geodetic			31TFA0000000000 			45.148350	4.272040		45.149195	4.272038																							Warning-Equivalent
83	ADI-M	MGRS	ADI-M	Geodetic			31TGA0000000000 			45.127110	5.543140		45.127955	5.543133																							Warning-Equivalent
84	ADI-M	MGRS	ADI-M	Geodetic			31UCF0000000000 			49.621390	0.230920		49.622231	0.230919																							Warning-Equivalent
85	ADI-M	MGRS	ADI-M	Geodetic			31UDF0000000000 			49.646230	1.614820		49.647071	1.614820																							Warning-Equivalent
86	ADI-M	MGRS	ADI-M	Geodetic			31UEF0000000000 			49.654510	3.000000		49.655358	3.000000																							Warning-Equivalent
87	ADI-M	MGRS	ADI-M	Geodetic			31UFF0000000000 			49.646230	4.385180		49.647071	4.385180																							Warning-Equivalent
88	ADI-M	MGRS	ADI-M	Geodetic			31UGF0000000000 			49.621390	5.769080		49.622231	5.769081																							Warning-Equivalent
89	ADI-M	MGRS	ADI-M	Geodetic			30UXQ9220699669 			54.111150	-0.059630		54.111975	-0.059634																							Warning-Equivalent
90	ADI-M	MGRS	ADI-M	Geodetic			31UDL0000000000 			54.140320	1.469280		54.141143	1.469279																							Warning-Equivalent
91	ADI-M	MGRS	ADI-M	Geodetic			31UEL0000000000 			54.150050	3.000000		54.150874	3.000000																							Warning-Equivalent
92	ADI-M	MGRS	ADI-M	Geodetic			31UFL0000000000 			54.140320	4.530720		54.141143	4.530721																							Warning-Equivalent
93	ADI-M	MGRS	ADI-M	Geodetic			32ULQ0779499669 			54.111150	6.059630		54.111975	6.059634																							Warning-Equivalent
94	ADI-M	MGRS	ADI-M	Geodetic			30VXV4867797704 			58.596110	-0.441750		58.596897	-0.441759																							Warning-Equivalent
95	ADI-M	MGRS	ADI-M	Geodetic			31VDR0000000000 			58.630650	1.277780		58.631441	1.277774																							Warning-Equivalent
96	ADI-M	MGRS	ADI-M	Geodetic			32VJA5199715582 			58.642180	3.000000		58.642967	3.000004																							Warning-Equivalent
97	ADI-M	MGRS	ADI-M	Geodetic			32VKA5170206637 			58.630650	4.722220		58.631445	4.722221																							Warning-Equivalent
98	ADI-M	MGRS	ADI-M	Geodetic			32VLV5132397704 			58.596110	6.441750		58.596897	6.441759																							Warning-Equivalent
99	ADI-M	MGRS	ADI-M	Geodetic			30VXE0303195469 			63.075780	-0.960430		63.076518	-0.960458																							Warning-Equivalent
100	ADI-M	MGRS	ADI-M	Geodetic			31VDA0000000000 			63.117270	1.017660		63.118009	1.017648																							Warning-Equivalent
101	ADI-M	MGRS	ADI-M	Geodetic			32VJF9776514135 			63.131120	3.000000		63.131860	2.999993																							Warning-Equivalent
102	ADI-M	MGRS	ADI-M	Geodetic			32VKF9740404796 			63.117270	4.982340		63.118009	4.982360																							Warning-Equivalent
103	ADI-M	MGRS	ADI-M	Geodetic			32VLE9696995469 			63.075780	6.960430		63.076518	6.960458																							Warning-Equivalent
104	ADI-M	MGRS	ADI-M	Geodetic			30WWK5554893003 			67.549180	-1.696510		67.549852	-1.696539																							Warning-Equivalent
105	ADI-M	MGRS	ADI-M	Geodetic			31WDF0000000000 			67.600160	0.648080		67.600826	0.648067																							Warning-Equivalent
106	ADI-M	MGRS	ADI-M	Geodetic			31WEF0000000000 			67.617180	3.000000		67.617849	3.000000																							Warning-Equivalent
107	ADI-M	MGRS	ADI-M	Geodetic			31WFF0000000000 			67.600160	5.351920		67.600826	5.351933																							Warning-Equivalent
108	ADI-M	MGRS	ADI-M	Geodetic			32WMK4445293003 			67.549180	7.696510		67.549852	7.696539																							Warning-Equivalent
109	ADI-M	MGRS	ADI-M	Geodetic			30XWQ0651590354 			72.014150	-2.810920		72.014741	-2.810970																							Warning-Equivalent
110	ADI-M	MGRS	ADI-M	Geodetic			31XDL0000000000 			72.079030	0.087400		72.079620	0.087376																							Warning-Equivalent
111	ADI-M	MGRS	ADI-M	Geodetic			31XEL0000000000 			72.100720	3.000000		72.101306	3.000000																							Warning-Equivalent
112	ADI-M	MGRS	ADI-M	Geodetic			31XFL0000000000 			72.079030	5.912600		72.079620	5.912624																							Warning-Equivalent
113	ADI-M	MGRS	ADI-M	Geodetic			31XGL0000000000 			72.014150	8.810920		72.014740	8.810976																							Warning-Equivalent
114	ADI-M	MGRS	ADI-M	Geodetic			30XVV5622787576 			76.465260	-4.675590		76.465754	-4.675677																							Warning-Equivalent
115	ADI-M	MGRS	ADI-M	Geodetic			30XWV5568197741 			76.552840	-0.854620		76.553333	-0.854678																							Warning-Equivalent
116	ADI-M	MGRS	ADI-M	Geodetic			31XER0000000000 			76.582170	3.000000		76.582662	3.000000																							Warning-Equivalent
117	ADI-M	MGRS	ADI-M	Geodetic			31XFR0000000000 			76.552840	6.854620		76.553333	6.854670																							Warning-Equivalent
118	ADI-M	MGRS	ADI-M	Geodetic			33XUQ8711991097 			76.465260	10.675590		76.465752	10.675689																							Warning-Equivalent
119	ADI-M	MGRS	ADI-M	Geodetic			30XWE0442695052 			81.017590	-2.745960		81.017985	-2.746084																							Warning-Equivalent
120	ADI-M	MGRS	ADI-M	Geodetic			31XEA0000000000 			81.062000	3.000000		81.062396	3.000000																							Warning-Equivalent
121	ADI-M	MGRS	ADI-M	Geodetic			31XFA0000000000 			81.017590	8.745960		81.017988	8.746070																							Warning-Equivalent
122	ADI-M	MGRS	ADI-M	Geodetic			ZAB3113705865 			84.645050	3.000000		84.645366	2.999972																							Warning-Equivalent
123	ADI-M	MGRS	ADI-M	Geodetic			AZX5212698106 			-81.017590	-2.745960		-81.017984	-2.746079																							Warning-Equivalent
124	ADI-M	MGRS	ADI-M	Geodetic			BAX5203792931 			-81.062000	3.000000		-81.062393	2.999982																							Warning-Equivalent
125	ADI-M	MGRS	ADI-M	Geodetic			BBX5194287634 			-81.017590	8.745960		-81.017985	8.746066																							Warning-Equivalent
126	ADI-M	MGRS	ADI-M	Geodetic			30CVL5622712424 			-76.465260	-4.675590		-76.465754	-4.675677																							Warning-Equivalent
127	ADI-M	MGRS	ADI-M	Geodetic			30CWL5568102259 			-76.552840	-0.854620		-76.553333	-0.854678																							Warning-Equivalent
128	ADI-M	MGRS	ADI-M	Geodetic			31CEF0000000000 			-76.582170	3.000000		-76.582662	3.000000																							Warning-Equivalent
129	ADI-M	MGRS	ADI-M	Geodetic			32CML4431902259 			-76.552840	6.854620		-76.553333	6.854678																							Warning-Equivalent
130	ADI-M	MGRS	ADI-M	Geodetic			32CNL4377312424 			-76.465260	10.675590		-76.465754	10.675677																							Warning-Equivalent
131	ADI-M	MGRS	ADI-M	Geodetic			30CWR0651509646 			-72.014150	-2.810920		-72.014741	-2.810970																							Warning-Equivalent
132	ADI-M	MGRS	ADI-M	Geodetic			31CDL0000000000 			-72.079030	0.087400		-72.079620	0.087376																							Warning-Equivalent
133	ADI-M	MGRS	ADI-M	Geodetic			31CEL0000000000 			-72.100720	3.000000		-72.101306	3.000000																							Warning-Equivalent
134	ADI-M	MGRS	ADI-M	Geodetic			31CFL0000000000 			-72.079030	5.912600		-72.079620	5.912624																							Warning-Equivalent
135	ADI-M	MGRS	ADI-M	Geodetic			32CMR9348509646 			-72.014150	8.810920		-72.014741	8.810970																							Warning-Equivalent
136	ADI-M	MGRS	ADI-M	Geodetic			30DVA5609216655 			-67.464530	-4.026580		-67.465204	-4.026633																							Warning-Equivalent
137	ADI-M	MGRS	ADI-M	Geodetic			30DWA5554806997 			-67.549180	-1.696510		-67.549852	-1.696539																							Warning-Equivalent
138	ADI-M	MGRS	ADI-M	Geodetic			31DDR0000000000 			-67.600160	0.648080		-67.600826	0.648067																							Warning-Equivalent
139	ADI-M	MGRS	ADI-M	Geodetic			31DER0000000000 			-67.617180	3.000000		-67.617849	3.000000																							Warning-Equivalent
140	ADI-M	MGRS	ADI-M	Geodetic			31DFR0000000000 			-67.600160	5.351920		-67.600826	5.351933																							Warning-Equivalent
141	ADI-M	MGRS	ADI-M	Geodetic			32DMA4445206997 			-67.549180	7.696510		-67.549852	7.696539																							Warning-Equivalent
142	ADI-M	MGRS	ADI-M	Geodetic			32DNA4390816655 			-67.464530	10.026580		-67.465204	10.026633																							Warning-Equivalent
143	ADI-M	MGRS	ADI-M	Geodetic			30EVF0412223160 			-62.910640	-4.887180		-62.911381	-4.887222																							Warning-Equivalent
144	ADI-M	MGRS	ADI-M	Geodetic			30EWF0354013849 			-63.006810	-2.930080		-63.007549	-2.930098																							Warning-Equivalent
145	ADI-M	MGRS	ADI-M	Geodetic			30EXF0303104531 			-63.075780	-0.960430		-63.076518	-0.960458																							Warning-Equivalent
146	ADI-M	MGRS	ADI-M	Geodetic			31EDA0000000000 			-63.117270	1.017660		-63.118009	1.017648																							Warning-Equivalent
147	ADI-M	MGRS	ADI-M	Geodetic			31EEA0000000000 			-63.131120	3.000000		-63.131859	3.000000																							Warning-Equivalent
148	ADI-M	MGRS	ADI-M	Geodetic			31EFA0000000000 			-63.117270	4.982340		-63.118009	4.982352																							Warning-Equivalent
149	ADI-M	MGRS	ADI-M	Geodetic			32ELF9696904531 			-63.075780	6.960430		-63.076518	6.960458																							Warning-Equivalent
150	ADI-M	MGRS	ADI-M	Geodetic			32EMF9646013849 			-63.006810	8.930080		-63.007549	8.930098																							Warning-Equivalent
151	ADI-M	MGRS	ADI-M	Geodetic			32ENF9587823160 			-62.910640	10.887180		-62.911381	10.887222																							Warning-Equivalent
152	ADI-M	MGRS	ADI-M	Geodetic			30EVL4968920130 			-58.458490	-3.862170		-58.459282	-3.862186																							Warning-Equivalent
153	ADI-M	MGRS	ADI-M	Geodetic			30EWL4914011217 			-58.538660	-2.155940		-58.539455	-2.155960																							Warning-Equivalent
154	ADI-M	MGRS	ADI-M	Geodetic			30EXL4867702296 			-58.596110	-0.441750		-58.596897	-0.441759																							Warning-Equivalent
155	ADI-M	MGRS	ADI-M	Geodetic			31EDF0000000000 			-58.630650	1.277780		-58.631441	1.277774																							Warning-Equivalent
156	ADI-M	MGRS	ADI-M	Geodetic			31EEF0000000000 			-58.642180	3.000000		-58.642967	3.000000																							Warning-Equivalent
157	ADI-M	MGRS	ADI-M	Geodetic			31EFF0000000000 			-58.630650	4.722220		-58.631441	4.722226																							Warning-Equivalent
158	ADI-M	MGRS	ADI-M	Geodetic			32ELL5132302296 			-58.596110	6.441750		-58.596897	6.441759																							Warning-Equivalent
159	ADI-M	MGRS	ADI-M	Geodetic			32EML5086011217 			-58.538660	8.155940		-58.539455	8.155960																							Warning-Equivalent
160	ADI-M	MGRS	ADI-M	Geodetic			32ENL5031120130 			-58.458490	9.862170		-58.459282	9.862186																							Warning-Equivalent
161	ADI-M	MGRS	ADI-M	Geodetic			30FVR9312417262 			-53.994860	-3.104870		-53.995683	-3.104881																							Warning-Equivalent
162	ADI-M	MGRS	ADI-M	Geodetic			30FWR9261708801 			-54.062620	-1.584930		-54.063451	-1.584947																							Warning-Equivalent
163	ADI-M	MGRS	ADI-M	Geodetic			30FXR9220600331 			-54.111150	-0.059630		-54.111975	-0.059634																							Warning-Equivalent
164	ADI-M	MGRS	ADI-M	Geodetic			31FDL0000000000 			-54.140320	1.469280		-54.141143	1.469279																							Warning-Equivalent
165	ADI-M	MGRS	ADI-M	Geodetic			31FEL0000000000 			-54.150050	3.000000		-54.150874	3.000000																							Warning-Equivalent
166	ADI-M	MGRS	ADI-M	Geodetic			31FFL0000000000 			-54.140320	4.530720		-54.141143	4.530721																							Warning-Equivalent
167	ADI-M	MGRS	ADI-M	Geodetic			32FLR0779400331 			-54.111150	6.059630		-54.111975	6.059634																							Warning-Equivalent
168	ADI-M	MGRS	ADI-M	Geodetic			32FMR0738308801 			-54.062620	7.584930		-54.063451	7.584947																							Warning-Equivalent
169	ADI-M	MGRS	ADI-M	Geodetic			32FNR0687617262 			-53.994860	9.104870		-53.995683	9.104881																							Warning-Equivalent
170	ADI-M	MGRS	ADI-M	Geodetic			30FWA3416414592 			-49.522300	-2.527970		-49.523145	-2.527971																							Warning-Equivalent
171	ADI-M	MGRS	ADI-M	Geodetic			30FXA3370506636 			-49.580050	-1.150430		-49.580889	-1.150429																							Warning-Equivalent
172	ADI-M	MGRS	ADI-M	Geodetic			31FCR0000000000 			-49.621390	0.230920		-49.622231	0.230919																							Warning-Equivalent
173	ADI-M	MGRS	ADI-M	Geodetic			31FDR0000000000 			-49.646230	1.614820		-49.647071	1.614820																							Warning-Equivalent
174	ADI-M	MGRS	ADI-M	Geodetic			31FER0000000000 			-49.654510	3.000000		-49.655358	3.000000																							Warning-Equivalent
175	ADI-M	MGRS	ADI-M	Geodetic			31FFR0000000000 			-49.646230	4.385180		-49.647071	4.385180																							Warning-Equivalent
176	ADI-M	MGRS	ADI-M	Geodetic			31FGR0000000000 			-49.621390	5.769080		-49.622231	5.769081																							Warning-Equivalent
177	ADI-M	MGRS	ADI-M	Geodetic			32FLA6629506636 			-49.580050	7.150430		-49.580889	7.150429																							Warning-Equivalent
178	ADI-M	MGRS	ADI-M	Geodetic			32FMA6583614592 			-49.522300	8.527970		-49.523145	8.527971																							Warning-Equivalent
179	ADI-M	MGRS	ADI-M	Geodetic			30GWF7255712149 			-45.042360	-2.078760		-45.043200	-2.078753																							Warning-Equivalent
180	ADI-M	MGRS	ADI-M	Geodetic			30GXF7215004746 			-45.091760	-0.812350		-45.092599	-0.812350																							Warning-Equivalent
181	ADI-M	MGRS	ADI-M	Geodetic			31GCA0000000000 			-45.127110	0.456860		-45.127955	0.456867																							Warning-Equivalent
182	ADI-M	MGRS	ADI-M	Geodetic			31GDA0000000000 			-45.148350	1.727960		-45.149195	1.727962																							Warning-Equivalent
183	ADI-M	MGRS	ADI-M	Geodetic			31GEA0000000000 			-45.155430	3.000000		-45.156280	3.000000																							Warning-Equivalent
184	ADI-M	MGRS	ADI-M	Geodetic			31GFA0000000000 			-45.148350	4.272040		-45.149195	4.272038																							Warning-Equivalent
185	ADI-M	MGRS	ADI-M	Geodetic			31GGA0000000000 			-45.127110	5.543140		-45.127955	5.543133																							Warning-Equivalent
186	ADI-M	MGRS	ADI-M	Geodetic			32GLF2785004746 			-45.091760	6.812350		-45.092599	6.812350																							Warning-Equivalent
187	ADI-M	MGRS	ADI-M	Geodetic			32GMF2744312149 			-45.042360	8.078760		-45.043200	8.078753																							Warning-Equivalent
188	ADI-M	MGRS	ADI-M	Geodetic			30GXL0806609951 			-40.556060	-1.723640		-40.556888	-1.723632																							Warning-Equivalent
189	ADI-M	MGRS	ADI-M	Geodetic			30GYL0771403148 			-40.598310	-0.545230		-40.599132	-0.545230																							Warning-Equivalent
190	ADI-M	MGRS	ADI-M	Geodetic			31GCF0000000000 			-40.628540	0.635320		-40.629370	0.635319																							Warning-Equivalent
191	ADI-M	MGRS	ADI-M	Geodetic			31GDF0000000000 			-40.646700	1.817300		-40.647531	1.817300																							Warning-Equivalent
192	ADI-M	MGRS	ADI-M	Geodetic			31GEF0000000000 			-40.652760	3.000000		-40.653588	3.000000																							Warning-Equivalent
193	ADI-M	MGRS	ADI-M	Geodetic			31GFF0000000000 			-40.646700	4.182700		-40.647531	4.182700																							Warning-Equivalent
194	ADI-M	MGRS	ADI-M	Geodetic			31GGF0000000000 			-40.628540	5.364680		-40.629370	5.364681																							Warning-Equivalent
195	ADI-M	MGRS	ADI-M	Geodetic			32GKL9228603148 			-40.598310	6.545230		-40.599132	6.545230																							Warning-Equivalent
196	ADI-M	MGRS	ADI-M	Geodetic			32GLL9193409951 			-40.556060	7.723640		-40.556888	7.723632																							Warning-Equivalent
197	ADI-M	MGRS	ADI-M	Geodetic			30HXR4047108009 			-36.064170	-1.440270		-36.064962	-1.440258																							Warning-Equivalent
198	ADI-M	MGRS	ADI-M	Geodetic			30HYR4017401847 			-36.100160	-0.332170		-36.100952	-0.332169																							Warning-Equivalent
