TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
21	ADI-M	Geodetic	ADI-M	MGRS			9.042869	1.180508		31PCA0000000000			31PCA0000000000																								Warning-Equivalent
22	ADI-M	Geodetic	ADI-M	MGRS			9.046256	2.090136		31PDA0000000000			31PDA0000000000																								Warning-Equivalent
23	ADI-M	Geodetic	ADI-M	MGRS			9.047385	3.000000		31PEA0000000000			31PEV0000099999																								Warning-Different
24	ADI-M	Geodetic	ADI-M	MGRS			9.046256	3.909864		31PFA0000000000			31PEA9999900000																								Warning-Different
25	ADI-M	Geodetic	ADI-M	MGRS			9.042869	4.819492		31PGA0000000000			31PFA9999900000																								Warning-Different
26	ADI-M	Geodetic	ADI-M	MGRS			9.037229	5.728647		31PHA0000000000			31PGV9999999999																								Warning-Different
27	ADI-M	Geodetic	ADI-M	MGRS			9.029347	6.637093		32PKE4022998847			32PKE4022998846																								Warning-Equivalent
28	ADI-M	Geodetic	ADI-M	MGRS			13.542324	-0.694445		30PYK4952998153			30PYK4952998152																								Warning-Equivalent
29	ADI-M	Geodetic	ADI-M	MGRS			13.554274	0.228272		31PBF0000000000			31PAE9999999999																								Warning-Different
30	ADI-M	Geodetic	ADI-M	MGRS			13.562819	1.151756		31PCF0000000000			31PBE9999999999																								Warning-Different
31	ADI-M	Geodetic	ADI-M	MGRS			13.567951	2.075751		31PDF0000000000			31PDF0000000000																								Warning-Equivalent
32	ADI-M	Geodetic	ADI-M	MGRS			13.569662	3.000000		31PEF0000000000			31PEE0000099999																								Warning-Different
33	ADI-M	Geodetic	ADI-M	MGRS			13.567951	3.924249		31PFF0000000000			31PEF9999900000																								Warning-Different
34	ADI-M	Geodetic	ADI-M	MGRS			13.562819	4.848244		31PGF0000000000			31PGE0000099999																								Warning-Different
35	ADI-M	Geodetic	ADI-M	MGRS			13.554274	5.771728		31PHF0000000000			31PHE0000099999																								Warning-Different
36	ADI-M	Geodetic	ADI-M	MGRS			13.542324	6.694445		32PKK5047198153			32PKK5047098152																								Warning-Equivalent
37	ADI-M	Geodetic	ADI-M	MGRS			18.053303	-0.777304		30QYQ3528397324			30QYQ3528397323																								Warning-Equivalent
38	ADI-M	Geodetic	ADI-M	MGRS			18.069467	0.166031		31QBL0000000000			31QAK9999999999																								Warning-Different
39	ADI-M	Geodetic	ADI-M	MGRS			18.081025	1.110216		31QCL0000000000			31QCK0000099999																								Warning-Different
40	ADI-M	Geodetic	ADI-M	MGRS			18.087966	2.054966		31QDL0000000000			31QCK9999999999																								Warning-Different
41	ADI-M	Geodetic	ADI-M	MGRS			18.090281	3.000000		31QEL0000000000			31QEL0000000000																								Warning-Equivalent
42	ADI-M	Geodetic	ADI-M	MGRS			18.087966	3.945034		31QFL0000000000			31QFK0000099999																								Warning-Different
43	ADI-M	Geodetic	ADI-M	MGRS			18.081025	4.889784		31QGL0000000000			31QFK9999999999																								Warning-Different
44	ADI-M	Geodetic	ADI-M	MGRS			18.069467	5.833969		31QHL0000000000			31QHK0000099999																								Warning-Different
45	ADI-M	Geodetic	ADI-M	MGRS			18.053303	6.777304		32QKQ6471797324			32QKQ6471697323																								Warning-Equivalent
46	ADI-M	Geodetic	ADI-M	MGRS			22.582241	0.082517		31QBR0000000000			31QAR9999900000																								Warning-Different
47	ADI-M	Geodetic	ADI-M	MGRS			22.596964	1.054473		31QCR0000000000			31QBQ9999999999																								Warning-Different
48	ADI-M	Geodetic	ADI-M	MGRS			22.605806	2.027075		31QDR0000000000			31QDQ0000099999																								Warning-Different
49	ADI-M	Geodetic	ADI-M	MGRS			22.608755	3.000000		31QER0000000000			31QEQ0000099999																								Warning-Different
50	ADI-M	Geodetic	ADI-M	MGRS			22.605806	3.972925		31QFR0000000000			31QEQ9999999999																								Warning-Different
51	ADI-M	Geodetic	ADI-M	MGRS			22.596964	4.945527		31QGR0000000000			31QGQ0000099999																								Warning-Different
52	ADI-M	Geodetic	ADI-M	MGRS			22.582241	5.917483		31QHR0000000000			31QHR0000000000																								Warning-Equivalent
53	ADI-M	Geodetic	ADI-M	MGRS			27.092062	-0.025283		30RYE9498399880			30RYE9498399879																								Warning-Equivalent
54	ADI-M	Geodetic	ADI-M	MGRS			27.110160	0.982514		31RCA0000000000			31RCV0000099999																								Warning-Different
55	ADI-M	Geodetic	ADI-M	MGRS			27.121028	1.991067		31RDA0000000000			31RCV9999999999																								Warning-Different
56	ADI-M	Geodetic	ADI-M	MGRS			27.124652	3.000000		31REA0000000000			31REV0000099999																								Warning-Different
57	ADI-M	Geodetic	ADI-M	MGRS			27.121028	4.008933		31RFA0000000000			31RFV0000099999																								Warning-Different
58	ADI-M	Geodetic	ADI-M	MGRS			27.110160	5.017486		31RGA0000000000			31RFV9999999999																								Warning-Different
59	ADI-M	Geodetic	ADI-M	MGRS			27.092062	6.025283		32RKE0501799880			32RKE0501699879																								Warning-Equivalent
60	ADI-M	Geodetic	ADI-M	MGRS			31.598453	-0.161565		30RYK6932699158			30RYK6932699157																								Warning-Equivalent
61	ADI-M	Geodetic	ADI-M	MGRS			31.620192	0.891528		31RCF0000000000			31RBE9999999999																								Warning-Different
62	ADI-M	Geodetic	ADI-M	MGRS			31.633251	1.945536		31RDF0000000000			31RDF0000000000																								Warning-Equivalent
63	ADI-M	Geodetic	ADI-M	MGRS			31.637605	3.000000		31REF0000000000			31REE0000099999																								Warning-Different
64	ADI-M	Geodetic	ADI-M	MGRS			31.633251	4.054464		31RFF0000000000			31REF9999900000																								Warning-Different
65	ADI-M	Geodetic	ADI-M	MGRS			31.620192	5.108472		31RGF0000000000			31RGE0000099999																								Warning-Different
66	ADI-M	Geodetic	ADI-M	MGRS			31.598453	6.161565		32RKK3067499158			32RKK3067399157																								Warning-Equivalent
67	ADI-M	Geodetic	ADI-M	MGRS			36.100952	-0.332169		30SYQ4017498153			30SYQ4017398152																								Warning-Equivalent
68	ADI-M	Geodetic	ADI-M	MGRS			36.126697	0.777617		31SCL0000000000			31SCK0000099999																								Warning-Different
69	ADI-M	Geodetic	ADI-M	MGRS			36.142163	1.888526		31SDL0000000000			31SDK0000099999																								Warning-Different
70	ADI-M	Geodetic	ADI-M	MGRS			36.147322	3.000000		31SEL0000000000			31SEL0000000000																								Warning-Equivalent
71	ADI-M	Geodetic	ADI-M	MGRS			36.142163	4.111474		31SFL0000000000			31SEK9999999999																								Warning-Different
72	ADI-M	Geodetic	ADI-M	MGRS			36.126697	5.222383		31SGL0000000000			31SFK9999999999																								Warning-Different
73	ADI-M	Geodetic	ADI-M	MGRS			36.100952	6.332169		32SKQ5982698153			32SKQ5982698152																								Warning-Equivalent
74	ADI-M	Geodetic	ADI-M	MGRS			40.629370	0.635319		31TCR0000000000			31TBR9999900000																								Warning-Different
75	ADI-M	Geodetic	ADI-M	MGRS			40.647531	1.817300		31TDR0000000000			31TCR9999900000																								Warning-Different
76	ADI-M	Geodetic	ADI-M	MGRS			40.653588	3.000000		31TER0000000000			31TEQ0000099999																								Warning-Different
77	ADI-M	Geodetic	ADI-M	MGRS			40.647531	4.182700		31TFR0000000000			31TFR0000000000																								Warning-Equivalent
78	ADI-M	Geodetic	ADI-M	MGRS			40.629370	5.364681		31TGR0000000000			31TGR0000000000																								Warning-Equivalent
79	ADI-M	Geodetic	ADI-M	MGRS			45.127955	0.456867		31TCA0000000000			31TCA0000000000																								Warning-Equivalent
80	ADI-M	Geodetic	ADI-M	MGRS			45.149195	1.727962		31TDA0000000000			31TCA9999900000																								Warning-Different
81	ADI-M	Geodetic	ADI-M	MGRS			45.156280	3.000000		31TEA0000000000			31TEA0000000000																								Warning-Equivalent
82	ADI-M	Geodetic	ADI-M	MGRS			45.149195	4.272038		31TFA0000000000			31TFA0000000000																								Warning-Equivalent
83	ADI-M	Geodetic	ADI-M	MGRS			45.127955	5.543133		31TGA0000000000			31TFA9999900000																								Warning-Different
84	ADI-M	Geodetic	ADI-M	MGRS			49.622231	0.230919		31UCF0000000000			31UBF9999900000																								Warning-Different
85	ADI-M	Geodetic	ADI-M	MGRS			49.647071	1.614820		31UDF0000000000			31UDE0000099999																								Warning-Different
86	ADI-M	Geodetic	ADI-M	MGRS			49.655358	3.000000		31UEF0000000000			31UEF0000000000																								Warning-Equivalent
87	ADI-M	Geodetic	ADI-M	MGRS			49.647071	4.385180		31UFF0000000000			31UEE9999999999																								Warning-Different
88	ADI-M	Geodetic	ADI-M	MGRS			49.622231	5.769081		31UGF0000000000			31UGF0000000000																								Warning-Equivalent
89	ADI-M	Geodetic	ADI-M	MGRS			54.111975	-0.059634		30UXQ9220699669			30UXQ9220599669																								Warning-Equivalent
90	ADI-M	Geodetic	ADI-M	MGRS			54.141143	1.469279		31UDL0000000000			31UDK0000099999																								Warning-Different
91	ADI-M	Geodetic	ADI-M	MGRS			54.150874	3.000000		31UEL0000000000			31UEK0000099999																								Warning-Different
92	ADI-M	Geodetic	ADI-M	MGRS			54.141143	4.530721		31UFL0000000000			31UEK9999999999																								Warning-Different
93	ADI-M	Geodetic	ADI-M	MGRS			54.111975	6.059634		32ULQ0779499669			32ULQ0779499669																								Warning-Equivalent
94	ADI-M	Geodetic	ADI-M	MGRS			58.596897	-0.441759		30VXV4867797704			30VXV4867797703																								Warning-Equivalent
95	ADI-M	Geodetic	ADI-M	MGRS			58.631441	1.277774		31VDR0000000000			31VCQ9999999999																								Warning-Different
96	ADI-M	Geodetic	ADI-M	MGRS			58.642967	3.000004		32VJA5199715582			32VJA5199615581																								Warning-Equivalent
97	ADI-M	Geodetic	ADI-M	MGRS			58.631445	4.722221		32VKA5170206637			32VKA5170106637																								Warning-Equivalent
98	ADI-M	Geodetic	ADI-M	MGRS			58.596897	6.441759		32VLV5132397704			32VLV5132297703																								Warning-Equivalent
99	ADI-M	Geodetic	ADI-M	MGRS			63.076518	-0.960458		30VXE0303195469			30VXE0303095469																								Warning-Equivalent
100	ADI-M	Geodetic	ADI-M	MGRS			63.118009	1.017648		31VDA0000000000			31VDA0000000000																								Warning-Equivalent
101	ADI-M	Geodetic	ADI-M	MGRS			63.131860	2.999993		32VJF9776514135			31VDA9999900000																								Warning-Different
102	ADI-M	Geodetic	ADI-M	MGRS			63.118009	4.982360		32VKF9740404796			32VKF9740404796																								Warning-Equivalent
103	ADI-M	Geodetic	ADI-M	MGRS			63.076518	6.960458		32VLE9696995469			32VLE9696995469																								Warning-Equivalent
104	ADI-M	Geodetic	ADI-M	MGRS			67.549852	-1.696539		30WWK5554893003			30WWK5554893002																								Warning-Equivalent
105	ADI-M	Geodetic	ADI-M	MGRS			67.600826	0.648067		31WDF0000000000			31WCF9999900000																								Warning-Different
106	ADI-M	Geodetic	ADI-M	MGRS			67.617849	3.000000		31WEF0000000000			31WEF0000000000																								Warning-Equivalent
107	ADI-M	Geodetic	ADI-M	MGRS			67.600826	5.351933		31WFF0000000000			31WFF0000000000																								Warning-Equivalent
108	ADI-M	Geodetic	ADI-M	MGRS			67.549852	7.696539		32WMK4445293003			32WMK4445193002																								Warning-Equivalent
109	ADI-M	Geodetic	ADI-M	MGRS			72.014741	-2.810970		30XWQ0651590354			30XWQ0651490353																								Warning-Equivalent
110	ADI-M	Geodetic	ADI-M	MGRS			72.079620	0.087376		31XDL0000000000			31XCK9999999999																								Warning-Different
111	ADI-M	Geodetic	ADI-M	MGRS			72.101306	3.000000		31XEL0000000000			31XEK0000099999																								Warning-Different
112	ADI-M	Geodetic	ADI-M	MGRS			72.079620	5.912624		31XFL0000000000			31XFK0000099999																								Warning-Different
113	ADI-M	Geodetic	ADI-M	MGRS			72.014740	8.810976		31XGL0000000000			31XFK9999999999																								Warning-Different
114	ADI-M	Geodetic	ADI-M	MGRS			76.465754	-4.675677		30XVV5622787576			30XVV5622787575																								Warning-Equivalent
115	ADI-M	Geodetic	ADI-M	MGRS			76.553333	-0.854678		30XWV5568197741			30XWV5568097740																								Warning-Equivalent
116	ADI-M	Geodetic	ADI-M	MGRS			76.582662	3.000000		31XER0000000000			31XEQ0000099999																								Warning-Different
117	ADI-M	Geodetic	ADI-M	MGRS			76.553333	6.854670		31XFR0000000000			31XEQ9999999999																								Warning-Different
118	ADI-M	Geodetic	ADI-M	MGRS			76.465752	10.675689		33XUQ8711991097			33XUQ8711991097																								Warning-Equivalent
119	ADI-M	Geodetic	ADI-M	MGRS			81.017985	-2.746084		30XWE0442695052			30XWE0442595052																								Warning-Equivalent
120	ADI-M	Geodetic	ADI-M	MGRS			81.062396	3.000000		31XEA0000000000			31XEV0000099999																								Warning-Different
121	ADI-M	Geodetic	ADI-M	MGRS			81.017988	8.746070		31XFA0000000000			31XFV0000099999																								Warning-Different
122	ADI-M	Geodetic	ADI-M	MGRS			84.645366	2.999972		ZAB3113705865			ZAB3113705865																								Warning-Equivalent
123	ADI-M	Geodetic	ADI-M	MGRS			-81.017985	-2.746079		AZX5212698106			AZX5212598105																								Warning-Equivalent
124	ADI-M	Geodetic	ADI-M	MGRS			-81.062394	2.999982		BAX5203792931			BAX5203692930																								Warning-Equivalent
125	ADI-M	Geodetic	ADI-M	MGRS			-81.017986	8.746066		BBX5194287634			BBX5194187633																								Warning-Equivalent
126	ADI-M	Geodetic	ADI-M	MGRS			-76.465754	-4.675677		30CVL5622712424			30CVL5622712424																								Warning-Equivalent
127	ADI-M	Geodetic	ADI-M	MGRS			-76.553333	-0.854678		30CWL5568102259			30CWL5568002259																								Warning-Equivalent
128	ADI-M	Geodetic	ADI-M	MGRS			-76.582662	3.000000		31CEF0000000000			31CEF0000000000																								Warning-Equivalent
129	ADI-M	Geodetic	ADI-M	MGRS			-76.553333	6.854678		32CML4431902259			32CML4431902259																								Warning-Equivalent
130	ADI-M	Geodetic	ADI-M	MGRS			-76.465754	10.675677		32CNL4377312424			32CNL4377212424																								Warning-Equivalent
131	ADI-M	Geodetic	ADI-M	MGRS			-72.014741	-2.810970		30CWR0651509646			30CWR0651409646																								Warning-Equivalent
132	ADI-M	Geodetic	ADI-M	MGRS			-72.079620	0.087376		31CDL0000000000			31CCL9999900000																								Warning-Different
133	ADI-M	Geodetic	ADI-M	MGRS			-72.101306	3.000000		31CEL0000000000			31CEL0000000000																								Warning-Equivalent
134	ADI-M	Geodetic	ADI-M	MGRS			-72.079620	5.912624		31CFL0000000000			31CFL0000000000																								Warning-Equivalent
135	ADI-M	Geodetic	ADI-M	MGRS			-72.014741	8.810970		32CMR9348509646			32CMR9348509646																								Warning-Equivalent
136	ADI-M	Geodetic	ADI-M	MGRS			-67.465204	-4.026633		30DVA5609216655			30DVA5609116655																								Warning-Equivalent
137	ADI-M	Geodetic	ADI-M	MGRS			-67.549852	-1.696539		30DWA5554806997			30DWA5554806997																								Warning-Equivalent
138	ADI-M	Geodetic	ADI-M	MGRS			-67.600826	0.648067		31DDR0000000000			31DCQ9999999999																								Warning-Different
139	ADI-M	Geodetic	ADI-M	MGRS			-67.617849	3.000000		31DER0000000000			31DEQ0000099999																								Warning-Different
140	ADI-M	Geodetic	ADI-M	MGRS			-67.600826	5.351933		31DFR0000000000			31DFQ0000099999																								Warning-Different
141	ADI-M	Geodetic	ADI-M	MGRS			-67.549852	7.696539		32DMA4445206997			32DMA4445106997																								Warning-Equivalent
142	ADI-M	Geodetic	ADI-M	MGRS			-67.465204	10.026633		32DNA4390816655			32DNA4390816655																								Warning-Equivalent
143	ADI-M	Geodetic	ADI-M	MGRS			-62.911381	-4.887222		30EVF0412223160			30EVF0412223160																								Warning-Equivalent
144	ADI-M	Geodetic	ADI-M	MGRS			-63.007549	-2.930098		30EWF0354013849			30EWF0354013848																								Warning-Equivalent
145	ADI-M	Geodetic	ADI-M	MGRS			-63.076518	-0.960458		30EXF0303104531			30EXF0303004530																								Warning-Equivalent
146	ADI-M	Geodetic	ADI-M	MGRS			-63.118009	1.017648		31EDA0000000000			31EDV0000099999																								Warning-Different
147	ADI-M	Geodetic	ADI-M	MGRS			-63.131859	3.000000		31EEA0000000000			31EEV0000099999																								Warning-Different
148	ADI-M	Geodetic	ADI-M	MGRS			-63.118009	4.982352		31EFA0000000000			31EEV9999999999																								Warning-Different
149	ADI-M	Geodetic	ADI-M	MGRS			-63.076518	6.960458		32ELF9696904531			32ELF9696904530																								Warning-Equivalent
150	ADI-M	Geodetic	ADI-M	MGRS			-63.007549	8.930098		32EMF9646013849			32EMF9645913848																								Warning-Equivalent
151	ADI-M	Geodetic	ADI-M	MGRS			-62.911381	10.887222		32ENF9587823160			32ENF9587723160																								Warning-Equivalent
152	ADI-M	Geodetic	ADI-M	MGRS			-58.459282	-3.862186		30EVL4968920130			30EVL4968920129																								Warning-Equivalent
153	ADI-M	Geodetic	ADI-M	MGRS			-58.539455	-2.155960		30EWL4914011217			30EWL4914011216																								Warning-Equivalent
154	ADI-M	Geodetic	ADI-M	MGRS			-58.596897	-0.441759		30EXL4867702296			30EXL4867702296																								Warning-Equivalent
155	ADI-M	Geodetic	ADI-M	MGRS			-58.631441	1.277774		31EDF0000000000			31ECF9999900000																								Warning-Different
156	ADI-M	Geodetic	ADI-M	MGRS			-58.642967	3.000000		31EEF0000000000			31EEF0000000000																								Warning-Equivalent
157	ADI-M	Geodetic	ADI-M	MGRS			-58.631441	4.722226		31EFF0000000000			31EFF0000000000																								Warning-Equivalent
158	ADI-M	Geodetic	ADI-M	MGRS			-58.596897	6.441759		32ELL5132302296			32ELL5132202296																								Warning-Equivalent
159	ADI-M	Geodetic	ADI-M	MGRS			-58.539455	8.155960		32EML5086011217			32EML5085911216																								Warning-Equivalent
160	ADI-M	Geodetic	ADI-M	MGRS			-58.459282	9.862186		32ENL5031120130			32ENL5031020129																								Warning-Equivalent
161	ADI-M	Geodetic	ADI-M	MGRS			-53.995683	-3.104881		30FVR9312417262			30FVR9312417262																								Warning-Equivalent
162	ADI-M	Geodetic	ADI-M	MGRS			-54.063451	-1.584947		30FWR9261708801			30FWR9261608800																								Warning-Equivalent
163	ADI-M	Geodetic	ADI-M	MGRS			-54.111975	-0.059634		30FXR9220600331			30FXR9220500330																								Warning-Equivalent
164	ADI-M	Geodetic	ADI-M	MGRS			-54.141143	1.469279		31FDL0000000000			31FDL0000000000																								Warning-Equivalent
165	ADI-M	Geodetic	ADI-M	MGRS			-54.150874	3.000000		31FEL0000000000			31FEL0000000000																								Warning-Equivalent
166	ADI-M	Geodetic	ADI-M	MGRS			-54.141143	4.530721		31FFL0000000000			31FEL9999900000																								Warning-Different
167	ADI-M	Geodetic	ADI-M	MGRS			-54.111975	6.059634		32FLR0779400331			32FLR0779400330																								Warning-Equivalent
168	ADI-M	Geodetic	ADI-M	MGRS			-54.063451	7.584947		32FMR0738308801			32FMR0738308800																								Warning-Equivalent
169	ADI-M	Geodetic	ADI-M	MGRS			-53.995683	9.104881		32FNR0687617262			32FNR0687517262																								Warning-Equivalent
170	ADI-M	Geodetic	ADI-M	MGRS			-49.523145	-2.527971		30FWA3416414592			30FWA3416314591																								Warning-Equivalent
171	ADI-M	Geodetic	ADI-M	MGRS			-49.580889	-1.150429		30FXA3370506636			30FXA3370506636																								Warning-Equivalent
172	ADI-M	Geodetic	ADI-M	MGRS			-49.622231	0.230919		31FCR0000000000			31FBQ9999999999																								Warning-Different
173	ADI-M	Geodetic	ADI-M	MGRS			-49.647071	1.614820		31FDR0000000000			31FDR0000000000																								Warning-Equivalent
174	ADI-M	Geodetic	ADI-M	MGRS			-49.655358	3.000000		31FER0000000000			31FEQ0000099999																								Warning-Different
175	ADI-M	Geodetic	ADI-M	MGRS			-49.647071	4.385180		31FFR0000000000			31FER9999900000																								Warning-Different
176	ADI-M	Geodetic	ADI-M	MGRS			-49.622231	5.769081		31FGR0000000000			31FGQ0000099999																								Warning-Different
177	ADI-M	Geodetic	ADI-M	MGRS			-49.580889	7.150429		32FLA6629506636			32FLA6629406636																								Warning-Equivalent
178	ADI-M	Geodetic	ADI-M	MGRS			-49.523145	8.527971		32FMA6583614592			32FMA6583614591																								Warning-Equivalent
179	ADI-M	Geodetic	ADI-M	MGRS			-45.043200	-2.078753		30GWF7255712149			30GWF7255712149																								Warning-Equivalent
180	ADI-M	Geodetic	ADI-M	MGRS			-45.092599	-0.812350		30GXF7215004746			30GXF7215004745																								Warning-Equivalent
181	ADI-M	Geodetic	ADI-M	MGRS			-45.127955	0.456867		31GCA0000000000			31GCV0000099999																								Warning-Different
182	ADI-M	Geodetic	ADI-M	MGRS			-45.149195	1.727962		31GDA0000000000			31GCV9999999999																								Warning-Different
183	ADI-M	Geodetic	ADI-M	MGRS			-45.156280	3.000000		31GEA0000000000			31GEV0000099999																								Warning-Different
184	ADI-M	Geodetic	ADI-M	MGRS			-45.149195	4.272038		31GFA0000000000			31GFV0000099999																								Warning-Different
185	ADI-M	Geodetic	ADI-M	MGRS			-45.127955	5.543133		31GGA0000000000			31GFV9999999999																								Warning-Different
186	ADI-M	Geodetic	ADI-M	MGRS			-45.092599	6.812350		32GLF2785004746			32GLF2784904745																								Warning-Equivalent
187	ADI-M	Geodetic	ADI-M	MGRS			-45.043200	8.078753		32GMF2744312149			32GMF2744212149																								Warning-Equivalent
188	ADI-M	Geodetic	ADI-M	MGRS			-40.556888	-1.723632		30GXL0806609951			30GXL0806509950																								Warning-Equivalent
189	ADI-M	Geodetic	ADI-M	MGRS			-40.599132	-0.545230		30GYL0771403148			30GYL0771303148																								Warning-Equivalent
190	ADI-M	Geodetic	ADI-M	MGRS			-40.629370	0.635319		31GCF0000000000			31GBE9999999999																								Warning-Different
191	ADI-M	Geodetic	ADI-M	MGRS			-40.647531	1.817300		31GDF0000000000			31GCE9999999999																								Warning-Different
192	ADI-M	Geodetic	ADI-M	MGRS			-40.653588	3.000000		31GEF0000000000			31GEF0000000000																								Warning-Equivalent
193	ADI-M	Geodetic	ADI-M	MGRS			-40.647531	4.182700		31GFF0000000000			31GFE0000099999																								Warning-Different
194	ADI-M	Geodetic	ADI-M	MGRS			-40.629370	5.364681		31GGF0000000000			31GGE0000099999																								Warning-Different
195	ADI-M	Geodetic	ADI-M	MGRS			-40.599132	6.545230		32GKL9228603148			32GKL9228603148																								Warning-Equivalent
196	ADI-M	Geodetic	ADI-M	MGRS			-40.556888	7.723632		32GLL9193409951			32GLL9193409950																								Warning-Equivalent
197	ADI-M	Geodetic	ADI-M	MGRS			-36.064962	-1.440258		30HXR4047108009			30HXR4047008008																								Warning-Equivalent
198	ADI-M	Geodetic	ADI-M	MGRS			-36.100952	-0.332169		30HYR4017401847			30HYR4017301847																								Warning-Equivalent
199	ADI-M	Geodetic	ADI-M	MGRS			-36.126697	0.777617		31HCL0000000000			31HCL0000000000																								Warning-Equivalent
200	ADI-M	Geodetic	ADI-M	MGRS			-36.142163	1.888526		31HDL0000000000			31HDL0000000000																								Warning-Equivalent
201	ADI-M	Geodetic	ADI-M	MGRS			-36.147322	3.000000		31HEL0000000000			31HEK0000099999																								Warning-Different
202	ADI-M	Geodetic	ADI-M	MGRS			-36.142163	4.111474		31HFL0000000000			31HEL9999900000																								Warning-Different
203	ADI-M	Geodetic	ADI-M	MGRS			-36.126697	5.222383		31HGL0000000000			31HFL9999900000																								Warning-Different
204	ADI-M	Geodetic	ADI-M	MGRS			-36.100952	6.332169		32HKR5982601847			32HKR5982601847																								Warning-Equivalent
205	ADI-M	Geodetic	ADI-M	MGRS			-36.064962	7.440258		32HLR5952908009			32HLR5952908008																								Warning-Equivalent
206	ADI-M	Geodetic	ADI-M	MGRS			-31.568054	-1.213298		30JXA6956806324			30JXA6956706324																								Warning-Equivalent
207	ADI-M	Geodetic	ADI-M	MGRS			-31.598453	-0.161565		30JYA6932600842			30JYA6932600842																								Warning-Equivalent
208	ADI-M	Geodetic	ADI-M	MGRS			-31.620192	0.891528		31JCR0000000000			31JBR9999900000																								Warning-Different
209	ADI-M	Geodetic	ADI-M	MGRS			-31.633251	1.945536		31JDR0000000000			31JDQ0000099999																								Warning-Different
210	ADI-M	Geodetic	ADI-M	MGRS			-31.637605	3.000000		31JER0000000000			31JER0000000000																								Warning-Equivalent
